uuid,age,gender,education,employment,income,saving,debt,created_at,1M-200€,6M-200€,1J-200€,5J-200€,10J-200€,1M-3000€,6M-3000€,1J-3000€,5J-3000€,10J-3000€,95%-200€,90%-200€,75%-200€,33%-200€,10%-200€,95%-3000€,90%-3000€,75%-3000€,33%-3000€,10%-3000
5f09c1fa-8a0a-4538-99f1-c49b52104f42,20,0,3,2,1000,1,0,2023-08-04 09:32:50,144,144,140.5,119,69,2156.5,2015.5,2156.5,2062.5,1828.5,137.5,131,115.5,59.5,5,2156.5,2156.5,2062.5,843.5,234
9fd9459e-f326-4e8a-9a03-31b243d784c2,24,0,3,2,1450,1,0,2023-08-04 12:55:49,197.5,137.5,140.5,115.5,31.5,2953.5,2062.5,2109.5,1687.5,1640.5,144,137.5,122.5,56,15.5,2156.5,2062.5,1875,843.5,234
1f69d45b-802e-4cf2-a928-e3407d05d2bf,21,0,3,2,412,0,0,2023-08-05 12:58:28,134.5,127.5,119,102.5,56,2109.5,2015.5,1734.5,1593.5,937.5,144,140.5,127.5,109.5,62.5,2953.5,2953.5,2109.5,1921.5,1781.5
7dfa8c3c-3143-43c8-bd0f-8171592e8884,23,1,4,2,1200,1,0,2023-08-05 13:12:01,127.5,72.5,122.5,72.5,122.5,890.5,937.5,890.5,516,750,137.5,125,100,35,109.5,1781.5,1828.5,1875,937.5,1875
5786cd26-4384-49a8-aa81-c0e9c0fd6356,19,1,3,0,0,0,0,2023-08-05 13:14:54,52.5,15.5,31.5,35,25,1500,93,187,187,187,131,115.5,65.5,62.5,56,1734.5,1546.5,1734.5,937.5,843.5
be4f3c55-aa20-4d99-b432-50fd0485a8de,20,0,3,2,1300,1,0,2023-08-05 13:16:08,197.5,197.5,197.5,144,127.5,2953.5,2953.5,2953.5,2156.5,2062.5,144,144,127.5,100,35,2156.5,2156.5,2156.5,1875,1500
fdea4cde-344a-47d9-84e2-7b7a4e95cfd5,23,1,4,1,1000,1,0,2023-08-05 13:17:08,102.5,62.5,35,144,62.5,1828.5,1687.5,1078.5,843.5,843.5,125,125,125,72.5,102.5,2062.5,1921.5,1546.5,2953.5,1875
2b56e935-5a79-4db6-9661-7f3159fa8106,19,0,3,2,450,0,0,2023-08-05 13:18:59,197.5,197.5,197.5,197.5,197.5,2953.5,2953.5,2953.5,2953.5,2953.5,144,144,144,109.5,102.5,2953.5,2953.5,2953.5,1734.5,93
91715f9a-713c-413d-aee6-6b85cf82b264,23,1,3,4,2800,1,0,2023-08-05 13:27:02,197.5,197.5,197.5,197.5,72.5,2953.5,2953.5,2953.5,2953.5,1078.5,197.5,197.5,197.5,197.5,197.5,2953.5,2953.5,2062.5,2953.5,1546.5
ed1d08ef-a1f6-471a-86e8-ab790fde506a,20,1,3,2,520,0,0,2023-08-05 13:37:09,197.5,197.5,144,35,109.5,2953.5,2156.5,2156.5,2109.5,2156.5,197.5,137.5,109.5,112.5,100,2156.5,2156.5,1875,1500,1500
00ab10c5-c20b-4011-9d0b-18baab3a99d6,21,0,4,0,1800,0,0,2023-08-05 14:14:04,72.5,131,119,102.5,100,1781.5,1640.5,2062.5,1734.5,1546.5,134.5,137.5,72.5,69,5,2156.5,2953.5,1921.5,1078.5,796.5
00ddec32-792e-45e0-a7c5-02ce87528f5f,26,0,2,4,2200,1,0,2023-08-05 15:06:45,197.5,197.5,197.5,197.5,197.5,2953.5,2953.5,2953.5,2953.5,2953.5,144,137.5,137.5,197.5,197.5,2156.5,2156.5,2156.5,2156.5,2156.5
